Layer,Context_Level,Train_Accuracy,Test_Accuracy,Prompt_1_Train_Accuracy,Prompt_1_Test_Accuracy,Prompt_2_Train_Accuracy,Prompt_2_Test_Accuracy,Prompt_3_Train_Accuracy,Prompt_3_Test_Accuracy,Prompt_4_Train_Accuracy,Prompt_4_Test_Accuracy,Prompt_5_Train_Accuracy,Prompt_5_Test_Accuracy,Prompt_6_Train_Accuracy,Prompt_6_Test_Accuracy,Prompt_7_Train_Accuracy,Prompt_7_Test_Accuracy,Prompt_8_Train_Accuracy,Prompt_8_Test_Accuracy,Prompt_9_Train_Accuracy,Prompt_9_Test_Accuracy,Prompt_10_Train_Accuracy,Prompt_10_Test_Accuracy
1,25,0.9955,0.4245,0.99625,0.445,0.99125,0.32,0.99625,0.485,0.99875,0.35,0.99875,0.48,0.99625,0.42,0.99125,0.38,0.99625,0.44,0.99,0.365,1.0,0.56
1,50,0.9054881860232529,0.3085,0.8925,0.34,0.9,0.29,0.93875,0.34,0.86125,0.21,0.9225,0.37,0.885,0.305,0.9011264080100125,0.305,0.93625,0.29,0.895,0.29,0.9225,0.345
1,75,0.9276159519939993,0.2905,0.91875,0.355,0.91,0.215,0.93,0.27,0.91,0.29,0.95125,0.28,0.92125,0.3,0.932415519399249,0.325,0.94125,0.23,0.91,0.31,0.95125,0.33
1,100,0.9997499687460932,0.297,0.99875,0.33,1.0,0.21,1.0,0.325,0.99875,0.3,1.0,0.305,1.0,0.325,1.0,0.21,1.0,0.305,1.0,0.29,1.0,0.37
1,125,0.935991998999875,0.268,0.93625,0.245,0.9375,0.25,0.94,0.325,0.90375,0.22,0.94,0.26,0.9475,0.29,0.9424280350438048,0.35,0.9425,0.225,0.92125,0.205,0.94875,0.31
1,150,0.9633061991233562,0.24362181090545273,0.9436795994993742,0.26,0.96875,0.19,0.97375,0.29,0.9473023839397742,0.225,0.97625,0.26,0.9573934837092731,0.22,0.9535175879396985,0.2914572864321608,0.9761306532663316,0.22,0.95625,0.19,0.9799749687108886,0.29
1,175,0.9079231845351647,0.2565922920892495,0.8873417721518987,0.25757575757575757,0.8883183568677792,0.23076923076923078,0.9130982367758187,0.23618090452261306,0.8996138996138996,0.2205128205128205,0.9343434343434344,0.2914572864321608,0.9115384615384615,0.29591836734693877,0.9194373401534527,0.24489795918367346,0.9178433889602053,0.26153846153846155,0.8740554156171285,0.2663316582914573,0.9334170854271356,0.26
1,200,0.815497661990648,0.2531982942430704,0.8225165562913908,0.23809523809523808,0.7803867403314917,0.20994475138121546,0.8648648648648649,0.3641025641025641,0.7590529247910863,0.21666666666666667,0.8481675392670157,0.2864583333333333,0.8008241758241759,0.27472527472527475,0.8237704918032787,0.2185792349726776,0.8046448087431693,0.16304347826086957,0.7971758664955071,0.26666666666666666,0.8466494845360825,0.28205128205128205
1,225,1.0,0.2590612002376708,1.0,0.24260355029585798,1.0,0.2,1.0,0.29444444444444445,1.0,0.21794871794871795,1.0,0.3275862068965517,1.0,0.23417721518987342,1.0,0.2389937106918239,1.0,0.21951219512195122,1.0,0.2640449438202247,1.0,0.32972972972972975
1,250,0.9836808703535811,0.23499638467100506,0.9781021897810219,0.17391304347826086,0.9858585858585859,0.1693548387096774,0.9903381642512077,0.26282051282051283,0.967479674796748,0.22764227642276422,0.9931153184165232,0.22602739726027396,0.9772256728778468,0.2231404958677686,0.9820359281437125,0.24603174603174602,0.9885057471264368,0.183206106870229,0.9775641025641025,0.27564102564102566,0.9922839506172839,0.3271604938271605
