Layer,Context_Level,Train_Accuracy,Test_Accuracy,Prompt_1_Train_Accuracy,Prompt_1_Test_Accuracy,Prompt_2_Train_Accuracy,Prompt_2_Test_Accuracy,Prompt_3_Train_Accuracy,Prompt_3_Test_Accuracy,Prompt_4_Train_Accuracy,Prompt_4_Test_Accuracy,Prompt_5_Train_Accuracy,Prompt_5_Test_Accuracy,Prompt_6_Train_Accuracy,Prompt_6_Test_Accuracy,Prompt_7_Train_Accuracy,Prompt_7_Test_Accuracy,Prompt_8_Train_Accuracy,Prompt_8_Test_Accuracy,Prompt_9_Train_Accuracy,Prompt_9_Test_Accuracy,Prompt_10_Train_Accuracy,Prompt_10_Test_Accuracy
1,25,0.9665,0.425,0.9725,0.445,0.95625,0.34,0.97625,0.49,0.95875,0.365,0.98125,0.52,0.95875,0.445,0.96,0.34,0.97,0.41,0.955,0.36,0.97625,0.535
1,50,0.8372296537067133,0.302,0.83,0.315,0.83,0.28,0.875,0.33,0.78625,0.2,0.85875,0.375,0.81375,0.26,0.8423028785982478,0.285,0.855,0.335,0.825,0.285,0.85625,0.355
1,75,0.8488561070133767,0.301,0.85,0.35,0.81375,0.225,0.86,0.305,0.81625,0.27,0.87,0.305,0.845,0.32,0.8598247809762203,0.335,0.8475,0.22,0.84625,0.32,0.88,0.36
1,100,0.8227278409801225,0.2745,0.78375,0.305,0.81625,0.225,0.855,0.32,0.79,0.285,0.84,0.28,0.82375,0.27,0.8335419274092616,0.185,0.81125,0.28,0.83,0.26,0.84375,0.335
1,125,0.9216152019002375,0.267,0.91875,0.265,0.91375,0.245,0.92875,0.305,0.90375,0.195,0.9475,0.29,0.92375,0.31,0.918648310387985,0.33,0.93,0.225,0.89,0.195,0.94125,0.31
1,150,0.9024420788979336,0.2541270635317659,0.8635794743429287,0.275,0.90625,0.225,0.925,0.265,0.8858218318695107,0.225,0.925,0.255,0.9135338345864662,0.235,0.8944723618090452,0.2613065326633166,0.9082914572864321,0.245,0.885,0.225,0.9173967459324155,0.33
1,175,0.929670609182246,0.2652129817444219,0.9113924050632911,0.2828282828282828,0.9127086007702182,0.24102564102564103,0.9345088161209067,0.2964824120603015,0.9214929214929215,0.2153846153846154,0.9532828282828283,0.3065326633165829,0.9461538461538461,0.27040816326530615,0.9271099744245525,0.23469387755102042,0.9255455712451861,0.2205128205128205,0.9219143576826196,0.2814070351758794,0.9422110552763819,0.3
1,200,0.953373413493654,0.2638592750533049,0.9496688741721855,0.21164021164021163,0.9350828729281768,0.2541436464088398,0.9703989703989704,0.36923076923076925,0.9428969359331476,0.24444444444444444,0.9541884816753927,0.28125,0.9629120879120879,0.27472527472527475,0.9603825136612022,0.2185792349726776,0.9549180327868853,0.1793478260869565,0.938382541720154,0.27692307692307694,0.9639175257731959,0.31794871794871793
1,225,0.9572343912978691,0.24717765894236482,0.9585185185185185,0.21301775147928995,0.9433962264150944,0.23125,0.9722222222222222,0.3055555555555556,0.9487179487179487,0.19230769230769232,0.9552023121387283,0.3275862068965517,0.953968253968254,0.2468354430379747,0.9559055118110236,0.18867924528301888,0.9631901840490797,0.18902439024390244,0.9464033850493653,0.2640449438202247,0.9715447154471545,0.2918918918918919
1,250,0.899365367180417,0.22631959508315258,0.8923357664233577,0.16666666666666666,0.8787878787878788,0.13709677419354838,0.9436392914653784,0.26282051282051283,0.8719512195121951,0.23577235772357724,0.9173838209982789,0.2328767123287671,0.8923395445134575,0.19008264462809918,0.8922155688622755,0.2222222222222222,0.8716475095785441,0.16030534351145037,0.9006410256410257,0.27564102564102566,0.9151234567901234,0.3333333333333333
