Layer,Context_Level,Most_Important_Test_Feature,Prompt_1_Most_Important_Test_Feature,Prompt_2_Most_Important_Test_Feature,Prompt_3_Most_Important_Test_Feature,Prompt_4_Most_Important_Test_Feature,Prompt_5_Most_Important_Test_Feature,Prompt_6_Most_Important_Test_Feature,Prompt_7_Most_Important_Test_Feature,Prompt_8_Most_Important_Test_Feature,Prompt_9_Most_Important_Test_Feature,Prompt_10_Most_Important_Test_Feature
3,375,269.6,169.6,296.0,276.0,260.2,284.6,216.8,239.8,257.0,155.4,243.2
3,400,189.8,304.8,303.4,278.6,204.4,277.8,235.8,341.4,310.2,349.0,163.2
4,25,206.6,263.8,248.2,141.6,275.8,262.2,237.2,165.0,278.6,236.4,171.4
4,50,221.0,324.2,256.0,280.6,299.0,150.2,337.8,256.2,255.8,216.6,242.0
4,75,211.6,142.0,226.0,432.2,155.2,344.8,262.2,418.4,244.0,273.2,257.8
4,100,271.8,272.0,241.4,296.4,322.0,347.4,306.6,221.2,286.8,283.0,239.6
4,125,248.6,323.8,150.4,237.2,218.6,355.2,166.8,233.0,251.6,253.4,320.4
4,150,179.8,333.6,311.2,326.4,203.8,251.0,143.6,302.6,230.0,179.2,160.4
4,175,183.6,215.8,217.2,296.4,365.0,198.6,216.4,308.2,237.8,393.2,223.2
4,200,263.4,337.2,238.2,331.2,233.8,360.8,271.0,366.2,95.6,289.6,305.6
4,225,123.4,383.4,197.0,200.2,95.6,142.4,256.2,267.6,177.2,241.2,194.2
4,250,291.6,245.6,285.0,448.4,159.2,244.0,305.8,278.4,147.6,322.6,267.0
4,275,107.6,287.6,246.6,313.2,232.2,344.6,141.6,278.2,347.0,284.4,166.6
4,300,119.4,315.2,323.6,132.8,130.6,293.4,207.0,331.8,305.6,326.4,279.6
4,325,281.2,240.6,228.0,297.6,327.0,232.0,108.0,317.6,213.8,264.8,166.0
4,350,246.4,353.0,255.8,263.2,257.4,308.2,196.4,135.8,172.8,310.8,280.2
4,375,216.6,370.8,276.8,209.4,242.6,286.4,225.2,211.8,280.2,233.6,293.4
4,400,236.4,241.2,154.6,304.0,115.4,129.8,229.2,113.6,211.4,226.6,225.0
5,25,223.2,191.6,88.6,261.8,325.4,219.6,310.0,296.4,346.6,219.6,167.2
5,50,267.4,276.4,144.6,292.8,141.2,256.0,203.0,363.6,313.2,211.4,212.8
5,75,251.2,189.2,233.4,324.8,221.0,344.8,214.6,309.4,281.8,284.8,283.4
5,100,293.4,274.6,194.6,330.2,264.0,293.8,276.6,189.6,370.4,230.8,248.6
5,125,196.6,196.2,152.2,186.2,257.8,336.8,204.4,260.4,371.0,247.2,338.2
5,150,218.4,393.2,241.6,329.6,252.0,206.8,208.6,330.6,177.0,295.8,314.4
5,175,268.2,168.8,361.0,297.6,195.2,213.2,255.8,320.8,223.0,299.0,225.8
5,200,218.2,189.8,224.2,288.4,194.4,252.4,161.0,303.8,255.8,248.0,308.2
5,225,189.2,177.2,258.6,105.8,245.2,243.6,227.6,180.8,283.8,343.0,220.0
5,250,142.8,152.6,120.0,211.8,229.6,231.2,288.6,249.4,184.4,310.6,260.8
5,275,267.2,225.4,348.0,223.2,139.8,221.0,242.4,149.0,355.6,317.2,169.2
5,300,223.8,301.2,199.8,195.8,171.6,259.8,307.4,317.2,216.2,180.8,273.2
5,325,297.0,291.0,211.2,273.4,122.6,339.0,279.8,369.6,180.6,315.2,267.6
5,350,256.4,252.6,208.4,218.6,249.6,339.6,308.8,307.0,288.8,292.6,362.8
5,375,367.8,267.8,255.2,311.2,306.0,334.6,249.6,138.0,168.8,210.6,266.8
5,400,345.6,234.8,316.0,283.6,305.4,210.8,275.2,153.2,265.8,347.2,343.6
6,25,154.2,244.6,211.8,188.2,300.4,232.8,177.2,208.6,284.2,273.6,247.0
6,50,283.6,225.0,215.4,230.6,251.0,239.8,246.0,256.2,294.4,254.2,277.4
6,75,227.2,217.2,204.0,274.4,229.0,417.0,261.0,267.8,248.6,253.0,186.0
6,100,285.0,287.2,195.8,369.6,258.6,257.8,188.0,248.8,321.4,280.0,243.2
6,125,307.2,320.2,197.6,271.2,325.6,357.8,121.2,285.8,235.0,193.6,284.2
6,150,367.8,276.4,293.2,266.6,269.4,267.0,191.4,394.2,277.6,247.0,199.8
6,175,367.2,284.8,195.0,354.6,330.2,306.8,264.6,295.2,324.6,283.4,265.8
6,200,328.8,195.4,244.8,195.2,293.6,285.2,134.8,283.0,272.0,287.8,311.0
6,225,315.2,217.4,347.6,184.2,137.2,287.0,352.4,392.6,220.0,259.0,281.2
6,250,223.8,122.8,175.4,181.4,277.0,363.8,166.8,262.8,129.8,218.8,398.0
6,275,331.6,157.8,257.2,301.8,154.2,191.2,302.2,263.0,266.2,203.6,341.2
6,300,256.0,250.0,178.8,283.6,318.4,183.4,297.6,357.8,362.6,226.4,243.2
6,325,237.2,233.6,221.4,292.2,276.2,141.6,320.8,227.2,250.6,345.2,225.2
6,350,300.6,278.4,256.4,173.6,345.6,271.8,355.8,274.4,321.0,263.2,254.2
6,375,295.4,315.6,274.8,294.8,180.0,277.0,344.8,241.8,278.2,164.2,258.0
6,400,387.4,297.0,303.2,227.2,308.6,354.6,180.2,179.4,231.6,352.2,163.8
7,25,267.8,260.2,263.8,270.0,269.2,243.0,235.8,192.6,314.0,280.8,282.2
7,50,290.6,410.0,187.8,257.2,314.0,317.4,331.4,281.2,325.6,272.6,331.0
7,75,275.6,306.6,217.0,257.2,290.8,220.0,203.6,297.8,300.4,236.2,324.4
7,100,256.6,361.2,182.0,369.8,328.6,192.2,256.8,195.4,366.0,302.2,279.2
7,125,308.4,359.2,206.6,302.6,347.4,345.4,230.8,271.2,310.4,241.8,221.2
7,150,360.4,312.6,220.6,235.6,265.4,312.4,224.4,297.8,355.4,221.4,238.8
7,175,290.6,310.6,305.2,236.8,350.6,362.2,166.8,293.4,340.6,197.4,258.6
7,200,307.0,271.0,221.8,338.2,324.2,288.4,223.4,282.6,276.4,175.2,260.8
7,225,267.0,345.0,287.4,191.6,303.6,284.6,237.2,335.2,285.0,292.8,265.6
7,250,355.6,302.4,219.8,286.2,224.0,327.6,172.4,253.4,148.0,190.8,391.6
7,275,335.2,246.2,233.4,348.0,244.4,194.0,262.8,377.0,333.0,337.4,169.6
7,300,310.2,300.2,200.8,286.4,287.4,228.2,327.8,265.4,269.0,186.0,325.2
7,325,323.8,201.8,161.2,332.2,301.4,99.8,171.4,332.8,246.0,280.4,195.0
7,350,304.0,338.6,259.2,265.8,273.6,313.6,365.0,365.0,348.2,218.0,383.4
7,375,325.2,189.8,238.0,310.2,367.8,319.8,248.6,191.2,295.4,231.2,287.8
7,400,318.8,241.2,285.8,227.0,376.6,183.4,169.4,195.6,236.4,232.4,271.4
8,25,232.8,216.8,193.2,360.8,341.0,243.0,270.0,246.0,329.4,333.6,225.8
8,50,207.8,425.2,121.6,276.2,414.2,121.6,291.2,218.6,321.4,278.2,110.0
8,75,274.4,376.8,177.4,283.4,350.2,217.4,199.6,212.8,281.8,300.2,282.6
8,100,210.8,162.2,189.8,258.6,418.2,255.0,194.4,220.2,263.6,318.4,238.2
8,125,277.4,334.0,195.4,254.2,380.4,282.4,137.4,189.4,228.0,275.8,205.6
