Layer,Context_Level,Train_Accuracy,Test_Accuracy,Prompt_1_Train_Accuracy,Prompt_1_Test_Accuracy,Prompt_2_Train_Accuracy,Prompt_2_Test_Accuracy,Prompt_3_Train_Accuracy,Prompt_3_Test_Accuracy,Prompt_4_Train_Accuracy,Prompt_4_Test_Accuracy,Prompt_5_Train_Accuracy,Prompt_5_Test_Accuracy,Prompt_6_Train_Accuracy,Prompt_6_Test_Accuracy,Prompt_7_Train_Accuracy,Prompt_7_Test_Accuracy,Prompt_8_Train_Accuracy,Prompt_8_Test_Accuracy,Prompt_9_Train_Accuracy,Prompt_9_Test_Accuracy,Prompt_10_Train_Accuracy,Prompt_10_Test_Accuracy
1,25,1.0,0.4395,1.0,0.465,1.0,0.355,1.0,0.52,1.0,0.39,1.0,0.515,1.0,0.42,1.0,0.36,1.0,0.44,1.0,0.38,1.0,0.55
1,50,0.9998749843730467,0.323,1.0,0.305,1.0,0.29,1.0,0.36,0.99875,0.24,1.0,0.39,1.0,0.33,1.0,0.32,1.0,0.315,1.0,0.325,1.0,0.355
1,75,0.995249406175772,0.309,0.99875,0.355,0.99875,0.25,0.99625,0.295,0.9875,0.29,0.99625,0.3,0.99625,0.305,0.9949937421777222,0.385,0.99625,0.24,0.99,0.31,0.9975,0.36
1,100,0.9997499687460932,0.2955,0.99875,0.325,1.0,0.22,1.0,0.325,0.99875,0.305,1.0,0.315,1.0,0.325,1.0,0.205,1.0,0.295,1.0,0.275,1.0,0.365
1,125,1.0,0.282,1.0,0.275,1.0,0.26,1.0,0.335,1.0,0.215,1.0,0.275,1.0,0.325,1.0,0.355,1.0,0.25,1.0,0.23,1.0,0.3
1,150,1.0,0.26463231615807903,1.0,0.28,1.0,0.215,1.0,0.29,1.0,0.215,1.0,0.285,1.0,0.255,1.0,0.2864321608040201,1.0,0.245,1.0,0.27,1.0,0.305
1,175,0.9991097545466107,0.26774847870182555,0.9987341772151899,0.2828282828282828,1.0,0.2564102564102564,1.0,0.24120603015075376,1.0,0.22564102564102564,1.0,0.33668341708542715,1.0,0.2755102040816326,0.9974424552429667,0.25,1.0,0.2564102564102564,0.9962216624685138,0.2663316582914573,0.9987437185929648,0.285
1,200,0.9576486305945224,0.2638592750533049,0.9509933774834437,0.20634920634920634,0.9447513812154696,0.2541436464088398,0.9755469755469756,0.3641025641025641,0.9442896935933147,0.2388888888888889,0.9581151832460733,0.3020833333333333,0.9601648351648352,0.3021978021978022,0.9658469945355191,0.23497267759562843,0.9631147540983607,0.1793478260869565,0.944801026957638,0.2512820512820513,0.9677835051546392,0.29743589743589743
1,225,0.9865891819400984,0.26262626262626265,0.9822222222222222,0.21301775147928995,0.9842767295597484,0.225,0.9888888888888889,0.3,0.9807692307692307,0.20512820512820512,0.9869942196531792,0.3333333333333333,0.9888888888888889,0.25316455696202533,0.9874015748031496,0.22641509433962265,0.9892638036809815,0.25,0.9887165021156559,0.2752808988764045,0.9878048780487805,0.32432432432432434
1,250,0.9985494106980961,0.2501807664497469,0.9981751824817519,0.1956521739130435,0.997979797979798,0.1693548387096774,1.0,0.28846153846153844,0.9959349593495935,0.2682926829268293,1.0,0.2465753424657534,0.9979296066252588,0.2231404958677686,0.9960079840319361,0.23809523809523808,1.0,0.17557251908396945,0.9983974358974359,0.33974358974358976,1.0,0.3148148148148148
1,275,1.0,0.218568665377176,1.0,0.2815533980582524,1.0,0.09195402298850575,1.0,0.2857142857142857,1.0,0.15853658536585366,1.0,0.2719298245614035,1.0,0.24705882352941178,1.0,0.2413793103448276,1.0,0.10526315789473684,1.0,0.16535433070866143,1.0,0.28125
1,300,0.5449438202247191,0.1800595238095238,0.4453125,0.03125,0.4265402843601896,0.09433962264150944,0.7871720116618076,0.2558139534883721,0.2388888888888889,0.021739130434782608,0.5616438356164384,0.1780821917808219,0.2669902912621359,0.057692307692307696,0.35023041474654376,0.14545454545454545,0.26521739130434785,0.034482758620689655,0.7808219178082192,0.40217391304347827,0.8027027027027027,0.3010752688172043
1,325,0.9880636604774535,0.25654450261780104,0.9791666666666666,0.1111111111111111,0.981651376146789,0.07142857142857142,1.0,0.3137254901960784,0.968421052631579,0.08333333333333333,0.9942857142857143,0.3181818181818182,0.97,0.11538461538461539,0.990990990990991,0.17857142857142858,0.9824561403508771,0.13793103448275862,0.9955357142857143,0.42105263157894735,0.9914529914529915,0.4067796610169492
1,350,1.0,0.21608040201005024,1.0,0.10526315789473684,1.0,0.07692307692307693,1.0,0.25,1.0,0.0,1.0,0.16666666666666666,1.0,0.1,1.0,0.08333333333333333,1.0,0.2,1.0,0.4838709677419355,1.0,0.25
1,375,0.9144385026737968,0.19,0.9459459459459459,0.1,0.7916666666666666,0.0,1.0,0.21428571428571427,0.782608695652174,0.0,0.972972972972973,0.1,0.631578947368421,0.0,0.6666666666666666,0.0,0.8275862068965517,0.0,0.9836065573770492,0.25,1.0,0.5263157894736842
1,400,0.98,0.19047619047619047,1.0,0.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.0,0.9375,0.25,1.0,0.0,0.6,0.0,1.0,0.0,1.0,0.5555555555555556,1.0,0.125
