Layer,Context_Level,Train_Accuracy,Test_Accuracy,Prompt_1_Train_Accuracy,Prompt_1_Test_Accuracy,Prompt_2_Train_Accuracy,Prompt_2_Test_Accuracy,Prompt_3_Train_Accuracy,Prompt_3_Test_Accuracy,Prompt_4_Train_Accuracy,Prompt_4_Test_Accuracy,Prompt_5_Train_Accuracy,Prompt_5_Test_Accuracy,Prompt_6_Train_Accuracy,Prompt_6_Test_Accuracy,Prompt_7_Train_Accuracy,Prompt_7_Test_Accuracy,Prompt_8_Train_Accuracy,Prompt_8_Test_Accuracy,Prompt_9_Train_Accuracy,Prompt_9_Test_Accuracy,Prompt_10_Train_Accuracy,Prompt_10_Test_Accuracy
1,25,0.88925,0.411,0.8775,0.45,0.8725,0.325,0.91625,0.45,0.8525,0.335,0.9175,0.475,0.895,0.405,0.87875,0.33,0.895,0.43,0.87375,0.36,0.91375,0.55
1,50,0.59294911863983,0.297,0.56,0.29,0.5875,0.255,0.66875,0.38,0.5425,0.18,0.64375,0.415,0.54375,0.28,0.5607008760951189,0.295,0.5975,0.315,0.595,0.255,0.63,0.305
1,75,0.905863232904113,0.3185,0.89375,0.395,0.89375,0.235,0.915,0.335,0.88,0.3,0.935,0.325,0.9025,0.305,0.9136420525657072,0.375,0.91,0.24,0.88875,0.325,0.92625,0.35
1,100,0.7580947618452306,0.2815,0.7475,0.335,0.7125,0.23,0.8075,0.335,0.7525,0.285,0.76125,0.26,0.75,0.285,0.7709637046307884,0.175,0.7575,0.28,0.7525,0.3,0.76875,0.33
1,125,0.9281160145018127,0.2755,0.92,0.275,0.9275,0.245,0.93875,0.305,0.9125,0.215,0.9425,0.295,0.92125,0.31,0.9299123904881101,0.325,0.9375,0.235,0.92,0.235,0.93125,0.315
1,150,0.6532247964934251,0.2511255627813907,0.6320400500625782,0.25,0.60375,0.24,0.70375,0.275,0.6398996235884568,0.205,0.685,0.27,0.6842105263157895,0.225,0.6306532663316583,0.24623115577889448,0.6582914572864321,0.26,0.63125,0.24,0.6633291614518148,0.3
1,175,0.7308915172326084,0.25862068965517243,0.740506329113924,0.2828282828282828,0.7034659820282413,0.2205128205128205,0.7418136020151134,0.3165829145728643,0.7078507078507078,0.18974358974358974,0.7537878787878788,0.2814070351758794,0.7282051282051282,0.24489795918367346,0.7289002557544757,0.22448979591836735,0.7227214377406932,0.24615384615384617,0.7204030226700252,0.2964824120603015,0.7600502512562815,0.28
1,200,0.7217100868403473,0.2547974413646055,0.7231788079470198,0.20105820105820105,0.6878453038674033,0.22099447513812154,0.7683397683397684,0.35384615384615387,0.6239554317548747,0.21666666666666667,0.7591623036649214,0.3020833333333333,0.7403846153846154,0.3021978021978022,0.7117486338797814,0.22404371584699453,0.7404371584699454,0.18478260869565216,0.7008985879332478,0.26153846153846155,0.7538659793814433,0.2717948717948718
1,225,0.7285054388317688,0.24004753416518124,0.7348148148148148,0.21893491124260356,0.6823899371069182,0.19375,0.7958333333333333,0.29444444444444445,0.6602564102564102,0.19230769230769232,0.75,0.3045977011494253,0.7015873015873015,0.20253164556962025,0.7133858267716535,0.2138364779874214,0.7085889570552147,0.17073170731707318,0.7235543018335684,0.2640449438202247,0.7926829268292683,0.31891891891891894
1,250,0.9124206708975521,0.2393347794649313,0.9142335766423357,0.1956521739130435,0.901010101010101,0.14516129032258066,0.9484702093397746,0.30128205128205127,0.8739837398373984,0.24390243902439024,0.9345955249569707,0.2328767123287671,0.8923395445134575,0.2231404958677686,0.8982035928143712,0.2222222222222222,0.8984674329501916,0.19083969465648856,0.9182692307692307,0.30128205128205127,0.9259259259259259,0.2962962962962963
1,275,0.9534486960760419,0.23210831721470018,0.9436274509803921,0.2815533980582524,0.9418604651162791,0.12643678160919541,0.986,0.30952380952380953,0.9207317073170732,0.17073170731707318,0.9623893805309734,0.2631578947368421,0.9285714285714286,0.21176470588235294,0.9481268011527377,0.26436781609195403,0.9468085106382979,0.11578947368421053,0.9563492063492064,0.2047244094488189,0.9724409448818898,0.3046875
1,300,0.9438202247191011,0.21875,0.9375,0.171875,0.919431279620853,0.11320754716981132,0.9591836734693877,0.313953488372093,0.9055555555555556,0.08695652173913043,0.958904109589041,0.2876712328767123,0.9271844660194175,0.19230769230769232,0.9216589861751152,0.21818181818181817,0.9347826086956522,0.1206896551724138,0.9643835616438357,0.2826086956521739,0.9621621621621622,0.24731182795698925
1,325,0.46485411140583555,0.21727748691099477,0.3541666666666667,0.027777777777777776,0.009174311926605505,0.0,0.7227722772277227,0.23529411764705882,0.0,0.0,0.49142857142857144,0.1590909090909091,0.13,0.038461538461538464,0.11711711711711711,0.03571428571428571,0.02631578947368421,0.0,0.8169642857142857,0.5614035087719298,0.8760683760683761,0.4915254237288136
1,350,0.8269720101781171,0.21608040201005024,0.9324324324324325,0.05263157894736842,0.7058823529411765,0.0,0.9464285714285714,0.17857142857142858,0.3181818181818182,0.0,0.9479166666666666,0.16666666666666666,0.375,0.0,0.41304347826086957,0.0,0.6724137931034483,0.06666666666666667,0.9838709677419355,0.45161290322580644,0.9858156028368794,0.5
1,375,0.660427807486631,0.18,0.7567567567567568,0.1,0.041666666666666664,0.0,0.9444444444444444,0.2857142857142857,0.0,0.0,0.8108108108108109,0.1,0.0,0.0,0.0,0.0,0.2413793103448276,0.0,0.9508196721311475,0.25,1.0,0.42105263157894735
1,400,0.5466666666666666,0.2619047619047619,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0625,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.5
