Layer,Context_Level,Train_Accuracy,Test_Accuracy,Prompt_1_Train_Accuracy,Prompt_1_Test_Accuracy,Prompt_2_Train_Accuracy,Prompt_2_Test_Accuracy
0,1,0.5,0.5,1.0,1.0,0.0,0.0
1,1,1.0,1.0,1.0,1.0,1.0,1.0
2,1,1.0,1.0,1.0,1.0,1.0,1.0
3,1,1.0,1.0,1.0,1.0,1.0,1.0
4,1,1.0,1.0,1.0,1.0,1.0,1.0
5,1,1.0,1.0,1.0,1.0,1.0,1.0
6,1,1.0,1.0,1.0,1.0,1.0,1.0
7,1,1.0,1.0,1.0,1.0,1.0,1.0
8,1,1.0,1.0,1.0,1.0,1.0,1.0
