Context Level,Accuracy
1,0.9915
2,0.9915
3,0.991
4,0.989
5,0.991
6,0.9905
7,0.9905
8,0.991
9,0.9915
10,0.9915
11,0.9905
12,0.992
13,0.992
14,0.9915
15,0.991
16,0.9915
17,0.9915
18,0.991
19,0.992
20,0.9905
21,0.991
22,0.991
23,0.9915
24,0.991
25,0.9905
26,0.991
27,0.99
28,0.991
29,0.99
30,0.99
31,0.9905
32,0.9915
33,0.99
34,0.991
35,0.992
36,0.991
37,0.992
38,0.991
39,0.991
40,0.99
41,0.9909954977488744
42,0.9909954977488744
43,0.9909954977488744
44,0.991495747873937
45,0.990990990990991
46,0.9914872308462694
47,0.9924812030075187
48,0.9909774436090225
49,0.9919799498746867
50,0.9919759277833501
51,0.9914744232698094
271,0.9881773399014778
272,0.9871541501976284
273,0.9850894632206759
274,0.98998998998999
275,0.9889336016096579
276,0.9868020304568528
277,0.9918283963227783
278,0.9928057553956835
279,0.9886010362694301
280,0.9864583333333333
281,0.9884453781512605
282,0.9873150105708245
283,0.9861995753715499
284,0.9882100750267953
285,0.9881465517241379
286,0.990174672489083
287,0.988998899889989
288,0.9900442477876106
289,0.9910913140311804
290,0.9898762654668166
291,0.9875706214689266
292,0.9874141876430206
293,0.9919168591224018
294,0.9930232558139535
295,0.9906103286384976
296,0.9929078014184397
297,0.9928656361474435
298,0.9915865384615384
299,0.9915662650602409
300,0.9890510948905109
301,0.9901840490797545
302,0.9900990099009901
303,0.9875156054931336
304,0.9911727616645649
305,0.9872286079182631
306,0.9870801033591732
307,0.9856584093872229
308,0.9882044560943644
309,0.9881422924901185
310,0.990728476821192
311,0.9893617021276596
312,0.9879679144385026
313,0.989247311827957
314,0.9892183288409704
315,0.99055330634278
316,0.9877717391304348
317,0.9850340136054422
318,0.9863387978142076
319,0.989041095890411
320,0.9890260631001372
321,0.988950276243094
322,0.9889349930843707
323,0.9888888888888889
324,0.9902370990237099
325,0.9916083916083916
505,0.9242424242424242
506,0.937007874015748
509,0.935064935064935
510,0.8085106382978723
511,0.6818181818181818
509,0.935064935064935
510,0.8085106382978723
511,0.6818181818181818
511,0.6818181818181818
