Context Level,Accuracy
1,0.992
2,0.992
3,0.99
4,0.9905
5,0.9905
6,0.9895
7,0.99
8,0.989
9,0.9895
10,0.989
11,0.9905
12,0.9905
13,0.99
14,0.9895
15,0.9895
16,0.989
17,0.9895
18,0.989
19,0.989
20,0.9895
21,0.99
22,0.99
23,0.988
24,0.9905
25,0.989
26,0.99
27,0.989
28,0.989
29,0.99
30,0.99
31,0.9895
32,0.9895
33,0.9895
34,0.989
35,0.9895
36,0.989
37,0.9895
38,0.9895
39,0.9895
40,0.989
41,0.9894947473736868
42,0.9894947473736868
43,0.9894947473736868
44,0.9899949974987494
45,0.9894894894894894
46,0.9909864797195793
47,0.9904761904761905
48,0.9904761904761905
49,0.9904761904761905
50,0.9914744232698094
51,0.9899699097291875
52,0.9899648770697441
53,0.9909638554216867
54,0.9914615770969362
55,0.9899396378269618
56,0.9894259818731118
57,0.9894046417759839
58,0.9893992932862191
59,0.9899040888440181
60,0.9898887765419616
61,0.9908860759493671
62,0.9908722109533469
63,0.9898425596749619
64,0.9898270600203459
65,0.9903110657827638
66,0.9902862985685071
67,0.9912954429083461
68,0.9902363823227133
69,0.9891919711785898
70,0.9912280701754386
71,0.9886010362694301
72,0.9885714285714285
73,0.9890453834115805
74,0.9884816753926702
75,0.9884393063583815
76,0.9894625922023182
77,0.9888771186440678
78,0.98989898989899
79,0.9892990904226859
80,0.9892357373519914
81,0.9886302111532215
82,0.9896514161220044
83,0.9890350877192983
84,0.9900497512437811
85,0.9894444444444445
86,0.9904601571268238
87,0.9909399773499433
88,0.9903133903133903
89,0.9902242668200115
90,0.990139211136891
91,0.9906213364595545
92,0.9881376037959668
93,0.9898020395920816
94,0.9896969696969697
95,0.9895641497851443
96,0.990092879256966
97,0.99
98,0.9904882688649335
99,0.9903846153846154
100,0.9915419648666233
101,0.9901185770750988
102,0.9906479625918504
103,0.9898648648648649
104,0.9897189856065799
105,0.9875086745315753
106,0.9880450070323488
107,0.9885795860099929
108,0.9876722262509064
109,0.9882179675994109
110,0.9910179640718563
111,0.9893536121673003
112,0.991499227202473
113,0.9921259842519685
114,0.9904229848363927
115,0.9910714285714286
116,0.9893092105263158
117,0.9916247906197655
118,0.9906700593723494
119,0.9905335628227194
120,0.9886759581881533
121,0.9885159010600707
122,0.9875222816399287
123,0.9882777276825969
124,0.9881710646041856
125,0.9880733944954129
126,0.9889196675900277
127,0.9888991674375578
128,0.987037037037037
129,0.987037037037037
130,0.9879629629629629
131,0.9861111111111112
132,0.9879629629629629
133,0.987037037037037
134,0.987037037037037
135,0.9879629629629629
136,0.987037037037037
137,0.9907407407407407
138,0.9888888888888889
139,0.987037037037037
140,0.9888888888888889
141,0.9879629629629629
142,0.9888888888888889
143,0.9898148148148148
144,0.9898148148148148
145,0.9888888888888889
146,0.987037037037037
147,0.9879629629629629
148,0.987037037037037
149,0.987037037037037
150,0.987037037037037
151,0.9888888888888889
152,0.987037037037037
153,0.987037037037037
154,0.9879629629629629
155,0.9861111111111112
156,0.987037037037037
157,0.987037037037037
158,0.987037037037037
159,0.9861111111111112
160,0.9861111111111112
161,0.987037037037037
162,0.9861111111111112
163,0.9861111111111112
164,0.987037037037037
165,0.9879629629629629
166,0.9879629629629629
167,0.9879629629629629
168,0.9879629629629629
169,0.987037037037037
170,0.987037037037037
171,0.987037037037037
172,0.9879629629629629
173,0.9888888888888889
174,0.9888888888888889
175,0.987037037037037
176,0.9888888888888889
177,0.987037037037037
178,0.987037037037037
179,0.987037037037037
180,0.987037037037037
181,0.9879629629629629
182,0.9879629629629629
183,0.9879629629629629
184,0.9879629629629629
185,0.987037037037037
186,0.9879629629629629
187,0.9879629629629629
188,0.9879629629629629
189,0.9879629629629629
190,0.9879629629629629
191,0.987037037037037
192,0.987037037037037
193,0.9879629629629629
194,0.9879629629629629
195,0.9888785912882299
196,0.9888785912882299
197,0.9888785912882299
198,0.989805375347544
199,0.989805375347544
200,0.989805375347544
201,0.989805375347544
202,0.989805375347544
203,0.9888785912882299
204,0.989805375347544
205,0.9888785912882299
206,0.9888785912882299
207,0.989805375347544
208,0.9888785912882299
209,0.9888785912882299
210,0.9888785912882299
211,0.9888785912882299
212,0.9888785912882299
213,0.9888785912882299
214,0.989805375347544
215,0.9888785912882299
216,0.989805375347544
217,0.9870250231696015
218,0.9888785912882299
219,0.989805375347544
220,0.9888682745825603
221,0.9888682745825603
222,0.9897959183673469
223,0.9879294336118849
224,0.989786443825441
225,0.9879294336118849
226,0.9879294336118849
227,0.9888579387186629
228,0.9888579387186629
229,0.9888579387186629
230,0.9888579387186629
231,0.9888579387186629
232,0.9888579387186629
233,0.9870009285051068
234,0.9897769516728625
235,0.9897769516728625
236,0.9879182156133829
237,0.9907063197026023
238,0.9897769516728625
239,0.9897769516728625
240,0.9869888475836431
241,0.9869888475836431
242,0.9869888475836431
243,0.9888372093023255
244,0.9869646182495344
245,0.9897579143389199
246,0.9878844361602982
247,0.9878844361602982
248,0.9888059701492538
249,0.9869158878504672
250,0.9878504672897196
251,0.9887640449438202
252,0.9878163074039362
253,0.9887323943661972
254,0.9858889934148636
255,0.9877704609595485
256,0.9896226415094339
257,0.9877126654064272
258,0.9876893939393939
259,0.9876893939393939
260,0.9866920152091255
261,0.988560533841754
262,0.988527724665392
263,0.9865642994241842
264,0.9875
265,0.9894128970163619
266,0.9874396135265701
267,0.9883720930232558
268,0.9873540856031129
